file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\PROJECTS\huston\huston\src\strategy\TemplateMethod1.java,strategy.TemplateMethod1,nextTry/0,FALSE,12,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1028,0,FALSE
C:\PROJECTS\huston\huston\src\prototype\TheOther.java,prototype.TheOther,execute/0,FALSE,6,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,FALSE
C:\PROJECTS\huston\huston\src\prototype\TheOther.java,prototype.TheOther,clone/0,FALSE,4,1,1,0,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,FALSE
C:\PROJECTS\huston\huston\src\prototype\TheOther.java,prototype.TheOther,getName/0,FALSE,5,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,FALSE
C:\PROJECTS\huston\huston\src\state\State.java,state.State,off/1[state.FSM],FALSE,5,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,FALSE
C:\PROJECTS\huston\huston\src\state\State.java,state.State,ack/1[state.FSM],FALSE,6,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,FALSE
C:\PROJECTS\huston\huston\src\state\State.java,state.State,on/1[state.FSM],FALSE,4,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,FALSE
C:\PROJECTS\huston\huston\src\observer\Lighting.java,observer.Lighting,alarm/0,FALSE,4,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,FALSE
C:\PROJECTS\huston\huston\src\template\Generalization.java,template.Generalization,stepFor/0,FALSE,16,0,1,1,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,4,0,FALSE
C:\PROJECTS\huston\huston\src\template\Generalization.java,template.Generalization,stepThr/0,FALSE,15,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1028,0,FALSE
C:\PROJECTS\huston\huston\src\template\Generalization.java,template.Generalization,findSolution/0,FALSE,5,1,5,1,4,1,4,6,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,FALSE
C:\PROJECTS\huston\huston\src\template\Generalization.java,template.Generalization,stepTwo/0,FALSE,14,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1028,0,FALSE
C:\PROJECTS\huston\huston\src\template\Generalization.java,template.Generalization,stepOne/0,FALSE,12,0,1,1,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,4,0,FALSE
C:\PROJECTS\huston\huston\src\visitor\Component.java,visitor.Component,accept/1[visitor.Visitor],FALSE,5,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,FALSE
C:\PROJECTS\huston\huston\src\visitor\Component.java,visitor.Component,traverse/0,FALSE,4,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,FALSE
C:\PROJECTS\huston\huston\src\bridge\StackHanoi.java,bridge.StackHanoi,StackHanoi/1[java.lang.String],TRUE,6,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,FALSE
C:\PROJECTS\huston\huston\src\bridge\StackHanoi.java,bridge.StackHanoi,reportRejected/0,FALSE,7,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,FALSE
C:\PROJECTS\huston\huston\src\bridge\StackHanoi.java,bridge.StackHanoi,push/1[int],FALSE,8,1,3,0,3,3,4,4,0,0,1,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5,1,0,FALSE
C:\PROJECTS\huston\huston\src\bridge\StackHanoi.java,bridge.StackHanoi,StackHanoi/0,TRUE,5,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,FALSE
C:\PROJECTS\huston\huston\src\command\Light.java,command.Light,turnOff/0,FALSE,7,0,1,1,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,FALSE
C:\PROJECTS\huston\huston\src\command\Light.java,command.Light,turnOn/0,FALSE,4,0,1,1,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,0,FALSE
C:\PROJECTS\huston\huston\src\composite\Box.java,composite.Box,Box/1[int],TRUE,9,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,FALSE
C:\PROJECTS\huston\huston\src\composite\Box.java,composite.Box,traverse/0,FALSE,11,1,2,1,1,2,8,6,0,1,0,8,0,0,1,0,0,1,1,2,1,2,1,0,0,0,4,1,0,FALSE
C:\PROJECTS\huston\huston\src\composite\Box.java,composite.Box,add/1[composite.Entity],FALSE,10,1,1,1,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,FALSE
C:\PROJECTS\huston\huston\src\visitor\VisitorComposite3.java,visitor.VisitorComposite3,main/1[java.lang.String[]],FALSE,5,3,8,0,8,4,8,14,0,5,1,8,0,0,3,0,0,0,2,8,6,4,2,0,0,0,13,9,0,FALSE
C:\PROJECTS\huston\huston\src\observer\AlarmListener.java,observer.AlarmListener,alarm/0,FALSE,3,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,FALSE
C:\PROJECTS\huston\huston\src\state\C.java,state.C,off/1[state.FSM],FALSE,6,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,FALSE
C:\PROJECTS\huston\huston\src\state\C.java,state.C,ack/1[state.FSM],FALSE,7,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,FALSE
C:\PROJECTS\huston\huston\src\state\C.java,state.C,on/1[state.FSM],FALSE,4,1,1,0,1,1,2,4,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,1,0,FALSE
C:\PROJECTS\huston\huston\src\command\FanOffCommand.java,command.FanOffCommand,execute/0,FALSE,9,1,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,FALSE
C:\PROJECTS\huston\huston\src\command\FanOffCommand.java,command.FanOffCommand,FanOffCommand/1[command.Fan],TRUE,6,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,FALSE
C:\PROJECTS\huston\huston\src\state\B.java,state.B,off/1[state.FSM],FALSE,6,1,1,0,1,1,2,4,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,1,0,FALSE
C:\PROJECTS\huston\huston\src\state\B.java,state.B,ack/1[state.FSM],FALSE,8,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,FALSE
C:\PROJECTS\huston\huston\src\state\B.java,state.B,on/1[state.FSM],FALSE,4,1,1,0,1,1,2,4,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,1,0,FALSE
C:\PROJECTS\huston\huston\src\state\A.java,state.A,off/1[state.FSM],FALSE,6,1,1,0,1,1,2,4,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,1,0,FALSE
C:\PROJECTS\huston\huston\src\state\A.java,state.A,ack/1[state.FSM],FALSE,8,1,1,0,1,1,2,4,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,1,0,FALSE
C:\PROJECTS\huston\huston\src\state\A.java,state.A,on/1[state.FSM],FALSE,4,1,1,0,1,1,2,4,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,1,0,FALSE
C:\PROJECTS\huston\huston\src\command\TestCommand.java,command.TestCommand,main/1[java.lang.String[]],FALSE,3,7,9,0,9,1,2,14,0,8,1,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,16,9,0,FALSE
C:\PROJECTS\huston\huston\src\decorator\DecoratorDemo.java,decorator.DecoratorDemo,main/1[java.lang.String[]],FALSE,3,4,4,0,4,1,1,4,0,1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,9,9,0,FALSE
C:\PROJECTS\huston\huston\src\command\FanOnCommand.java,command.FanOnCommand,execute/0,FALSE,8,1,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,FALSE
C:\PROJECTS\huston\huston\src\command\FanOnCommand.java,command.FanOnCommand,FanOnCommand/1[command.Fan],TRUE,5,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,FALSE
C:\PROJECTS\huston\huston\src\decorator\TextField.java,decorator.TextField,draw/0,FALSE,9,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,3,1,0,FALSE
C:\PROJECTS\huston\huston\src\decorator\TextField.java,decorator.TextField,"TextField/2[int,int]",TRUE,5,0,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,1,0,FALSE
C:\PROJECTS\huston\huston\src\observer\CheckList.java,observer.CheckList,byTheNumbers/0,FALSE,4,1,4,1,3,1,3,5,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,FALSE
C:\PROJECTS\huston\huston\src\observer\CheckList.java,observer.CheckList,identify/0,FALSE,12,0,1,1,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,4,0,FALSE
C:\PROJECTS\huston\huston\src\observer\CheckList.java,observer.CheckList,isolate/0,FALSE,10,0,1,1,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,4,0,FALSE
C:\PROJECTS\huston\huston\src\observer\CheckList.java,observer.CheckList,localize/0,FALSE,8,0,1,1,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,4,0,FALSE
C:\PROJECTS\huston\huston\src\state\FSM.java,state.FSM,changeState/1[int],FALSE,9,0,6,6,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,FALSE
C:\PROJECTS\huston\huston\src\state\FSM.java,state.FSM,ack/0,FALSE,8,1,2,1,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,FALSE
C:\PROJECTS\huston\huston\src\state\FSM.java,state.FSM,on/0,FALSE,6,1,2,1,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,FALSE
C:\PROJECTS\huston\huston\src\state\FSM.java,state.FSM,off/0,FALSE,7,1,2,1,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,FALSE
C:\PROJECTS\huston\huston\src\observer\Gates.java,observer.Gates,alarm/0,FALSE,4,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,FALSE
C:\PROJECTS\huston\huston\src\command\Switch.java,command.Switch,flipUp/0,FALSE,9,1,2,1,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,FALSE
C:\PROJECTS\huston\huston\src\command\Switch.java,command.Switch,"Switch/2[command.Command,command.Command]",TRUE,5,1,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,1,0,FALSE
C:\PROJECTS\huston\huston\src\command\Switch.java,command.Switch,flipDown/0,FALSE,14,1,2,1,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,FALSE
C:\PROJECTS\huston\huston\src\visitor\CollectVisitor.java,visitor.CollectVisitor,visit/1[visitor.Composite],FALSE,7,1,1,0,1,1,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,FALSE
C:\PROJECTS\huston\huston\src\visitor\CollectVisitor.java,visitor.CollectVisitor,visit/1[visitor.Leaf],FALSE,8,1,1,0,1,1,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,FALSE
C:\PROJECTS\huston\huston\src\visitor\CollectVisitor.java,visitor.CollectVisitor,getNumbers/0,FALSE,10,0,1,1,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,FALSE
C:\PROJECTS\huston\huston\src\visitor\CollectVisitor.java,visitor.CollectVisitor,getLetters/0,FALSE,9,0,1,1,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,FALSE
C:\PROJECTS\huston\huston\src\command\LightOffCommand.java,command.LightOffCommand,execute/0,FALSE,8,1,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,FALSE
C:\PROJECTS\huston\huston\src\command\LightOffCommand.java,command.LightOffCommand,LightOffCommand/1[command.Light],TRUE,5,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,FALSE
C:\PROJECTS\huston\huston\src\template\Realization.java,template.Realization,stepTwo/0,FALSE,5,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,4,0,FALSE
C:\PROJECTS\huston\huston\src\template\Realization.java,template.Realization,step3_2/0,FALSE,6,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,4,0,FALSE
C:\PROJECTS\huston\huston\src\template\Realization.java,template.Realization,stepFor/0,FALSE,9,0,0,0,0,1,2,4,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,4,0,FALSE
C:\PROJECTS\huston\huston\src\observer\ClassVersusInterface.java,observer.ClassVersusInterface,main/1[java.lang.String[]],FALSE,3,4,6,0,6,1,2,7,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,9,0,FALSE
C:\PROJECTS\huston\huston\src\chainOfResponsibility\Component.java,chainOfResponsibility.Component,"Component/2[int,chainOfResponsibility.Component]",TRUE,7,1,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,1,0,FALSE
C:\PROJECTS\huston\huston\src\chainOfResponsibility\Component.java,chainOfResponsibility.Component,traverse/0,FALSE,9,0,1,1,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,1,0,FALSE
C:\PROJECTS\huston\huston\src\chainOfResponsibility\Component.java,chainOfResponsibility.Component,Component/1[int],TRUE,6,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,FALSE
C:\PROJECTS\huston\huston\src\chainOfResponsibility\Component.java,chainOfResponsibility.Component,setNext/1[chainOfResponsibility.Component],FALSE,8,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,FALSE
C:\PROJECTS\huston\huston\src\chainOfResponsibility\Component.java,chainOfResponsibility.Component,volunteer/0,FALSE,11,1,2,1,1,1,1,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,FALSE
C:\PROJECTS\huston\huston\src\prototype\PrototypesModule.java,prototype.PrototypesModule,addPrototype/1[prototype.Prototype],FALSE,6,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,9,0,FALSE
C:\PROJECTS\huston\huston\src\prototype\PrototypesModule.java,prototype.PrototypesModule,findAndClone/1[java.lang.String],FALSE,9,1,3,1,2,3,4,5,2,1,1,4,0,0,1,0,0,0,1,1,1,1,2,0,0,0,9,9,0,FALSE
C:\PROJECTS\huston\huston\src\proxy\ProxyImage.java,proxy.ProxyImage,ProxyImage/1[java.lang.String],TRUE,7,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,FALSE
C:\PROJECTS\huston\huston\src\proxy\ProxyImage.java,proxy.ProxyImage,displayImage/0,FALSE,8,1,2,0,2,2,1,6,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,6,1,0,FALSE
C:\PROJECTS\huston\huston\src\chainOfResponsibility\Composite.java,chainOfResponsibility.Composite,Composite/1[int],TRUE,6,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,FALSE
C:\PROJECTS\huston\huston\src\chainOfResponsibility\Composite.java,chainOfResponsibility.Composite,add/1[chainOfResponsibility.Component],FALSE,8,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,FALSE
C:\PROJECTS\huston\huston\src\chainOfResponsibility\Composite.java,chainOfResponsibility.Composite,traverse/0,FALSE,9,1,2,1,1,2,1,4,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,3,1,0,FALSE
C:\PROJECTS\huston\huston\src\chainOfResponsibility\Composite.java,chainOfResponsibility.Composite,volunteer/0,FALSE,15,0,1,1,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,FALSE
C:\PROJECTS\huston\huston\src\chainOfResponsibility\Composite.java,chainOfResponsibility.Composite,"Composite/2[int,chainOfResponsibility.Component]",TRUE,7,1,1,1,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,FALSE
C:\PROJECTS\huston\huston\src\factory\Product.java,factory.Product,getName/0,FALSE,4,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,FALSE
C:\PROJECTS\huston\huston\src\factory\Creator.java,factory.Creator,anOperation/0,FALSE,5,2,3,1,2,1,3,4,0,1,0,3,1,1,0,0,0,0,1,0,1,1,0,0,0,0,4,1,0,FALSE
C:\PROJECTS\huston\huston\src\factory\Creator.java,factory.Creator,factoryMethod/0,FALSE,4,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1025,0,FALSE
C:\PROJECTS\huston\huston\src\observer\Surveillance.java,observer.Surveillance,alarm/0,FALSE,5,1,1,0,1,1,2,4,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,FALSE
C:\PROJECTS\huston\huston\src\observer\Surveillance.java,observer.Surveillance,isolate/0,FALSE,8,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,4,0,FALSE
C:\PROJECTS\huston\huston\src\singleton\ClassicSingleton.java,singleton.ClassicSingleton,ClassicSingleton/0,TRUE,5,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,FALSE
C:\PROJECTS\huston\huston\src\singleton\ClassicSingleton.java,singleton.ClassicSingleton,getInstance/0,FALSE,8,1,1,0,1,2,0,6,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,6,9,0,FALSE
C:\PROJECTS\huston\huston\src\state\StateDemo2.java,state.StateDemo2,main/1[java.lang.String[]],FALSE,3,2,4,0,4,5,3,7,0,3,1,3,0,0,1,3,0,0,0,12,3,0,4,0,0,0,8,9,0,FALSE
C:\PROJECTS\huston\huston\src\visitor\Composite.java,visitor.Composite,accept/1[visitor.Visitor],FALSE,17,2,3,1,2,2,4,4,0,1,1,4,0,0,1,0,0,1,0,1,1,0,1,0,0,0,5,1,0,FALSE
C:\PROJECTS\huston\huston\src\visitor\Composite.java,visitor.Composite,getLetter/0,FALSE,22,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,FALSE
C:\PROJECTS\huston\huston\src\visitor\Composite.java,visitor.Composite,add/1[visitor.Component],FALSE,11,1,1,1,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,FALSE
C:\PROJECTS\huston\huston\src\visitor\Composite.java,visitor.Composite,traverse/0,FALSE,12,1,2,1,1,2,4,4,0,1,0,4,0,0,1,0,0,1,1,1,1,1,1,0,0,0,4,1,0,FALSE
